"object","exemplar","state1","state2"
"cookie",2,"E:/PsychoPy/Images/cookie/e2_s1.jpg","E:/PsychoPy/Images/cookie/e2_s2.jpg"
"cooking_pot",2,"E:/PsychoPy/Images/cooking_pot/e2_s1.jpg","E:/PsychoPy/Images/cooking_pot/e2_s2.jpg"
"corkscrew",2,"E:/PsychoPy/Images/corkscrew/e2_s1.jpg","E:/PsychoPy/Images/corkscrew/e2_s2.jpg"
"donut",2,"E:/PsychoPy/Images/donut/e2_s1.jpg","E:/PsychoPy/Images/donut/e2_s2.jpg"
"dresser",2,"E:/PsychoPy/Images/dresser/e2_s1.jpg","E:/PsychoPy/Images/dresser/e2_s2.jpg"
"drink",2,"E:/PsychoPy/Images/drink/e2_s1.jpg","E:/PsychoPy/Images/drink/e2_s2.jpg"
"dryer",2,"E:/PsychoPy/Images/dryer/e2_s1.jpg","E:/PsychoPy/Images/dryer/e2_s2.jpg"
"file_box",2,"E:/PsychoPy/Images/file_box/e2_s1.jpg","E:/PsychoPy/Images/file_box/e2_s2.jpg"
"file_folder",2,"E:/PsychoPy/Images/file_folder/e2_s1.jpg","E:/PsychoPy/Images/file_folder/e2_s2.jpg"
"flask",2,"E:/PsychoPy/Images/flask/e2_s1.jpg","E:/PsychoPy/Images/flask/e2_s2.jpg"
"fridge",2,"E:/PsychoPy/Images/fridge/e2_s1.jpg","E:/PsychoPy/Images/fridge/e2_s2.jpg"
"garlic_press",2,"E:/PsychoPy/Images/garlic_press/e2_s1.jpg","E:/PsychoPy/Images/garlic_press/e2_s2.jpg"
"gift_box",2,"E:/PsychoPy/Images/gift_box/e2_s1.jpg","E:/PsychoPy/Images/gift_box/e2_s2.jpg"
"glass_orange",2,"E:/PsychoPy/Images/glass_orange/e2_s1.jpg","E:/PsychoPy/Images/glass_orange/e2_s2.jpg"
"gummy",2,"E:/PsychoPy/Images/gummy/e2_s1.jpg","E:/PsychoPy/Images/gummy/e2_s2.jpg"
"hand_puppet",2,"E:/PsychoPy/Images/hand_puppet/e2_s1.jpg","E:/PsychoPy/Images/hand_puppet/e2_s2.jpg"
"headphone_small",2,"E:/PsychoPy/Images/headphone_small/e2_s1.jpg","E:/PsychoPy/Images/headphone_small/e2_s2.jpg"
"hourglass",2,"E:/PsychoPy/Images/hourglass/e2_s1.jpg","E:/PsychoPy/Images/hourglass/e2_s2.jpg"
"kettle",2,"E:/PsychoPy/Images/kettle/e2_s1.jpg","E:/PsychoPy/Images/kettle/e2_s2.jpg"
"keys",2,"E:/PsychoPy/Images/keys/e2_s1.jpg","E:/PsychoPy/Images/keys/e2_s2.jpg"
"laptop",2,"E:/PsychoPy/Images/laptop/e2_s1.jpg","E:/PsychoPy/Images/laptop/e2_s2.jpg"
"leather_bag",2,"E:/PsychoPy/Images/leather_bag/e2_s1.jpg","E:/PsychoPy/Images/leather_bag/e2_s2.jpg"
"lemon",2,"E:/PsychoPy/Images/lemon/e2_s1.jpg","E:/PsychoPy/Images/lemon/e2_s2.jpg"
"locks",2,"E:/PsychoPy/Images/locks/e2_s1.jpg","E:/PsychoPy/Images/locks/e2_s2.jpg"
"lotion",2,"E:/PsychoPy/Images/lotion/e2_s1.jpg","E:/PsychoPy/Images/lotion/e2_s2.jpg"
"lottery_ticket",2,"E:/PsychoPy/Images/lottery_ticket/e2_s1.jpg","E:/PsychoPy/Images/lottery_ticket/e2_s2.jpg"
"lunchbox",2,"E:/PsychoPy/Images/lunchbox/e2_s1.jpg","E:/PsychoPy/Images/lunchbox/e2_s2.jpg"
"mailbox",2,"E:/PsychoPy/Images/mailbox/e2_s1.jpg","E:/PsychoPy/Images/mailbox/e2_s2.jpg"
"menorah",2,"E:/PsychoPy/Images/menorah/e2_s1.jpg","E:/PsychoPy/Images/menorah/e2_s2.jpg"
"menus",2,"E:/PsychoPy/Images/menus/e2_s1.jpg","E:/PsychoPy/Images/menus/e2_s2.jpg"
"metronome",2,"E:/PsychoPy/Images/metronome/e2_s1.jpg","E:/PsychoPy/Images/metronome/e2_s2.jpg"
"microwave",2,"E:/PsychoPy/Images/microwave/e2_s1.jpg","E:/PsychoPy/Images/microwave/e2_s2.jpg"
"mixer",2,"E:/PsychoPy/Images/mixer/e2_s1.jpg","E:/PsychoPy/Images/mixer/e2_s2.jpg"
"mustard",2,"E:/PsychoPy/Images/mustard/e2_s1.jpg","E:/PsychoPy/Images/mustard/e2_s2.jpg"
"notebook",2,"E:/PsychoPy/Images/notebook/e2_s1.jpg","E:/PsychoPy/Images/notebook/e2_s2.jpg"
"oj",2,"E:/PsychoPy/Images/oj/e2_s1.jpg","E:/PsychoPy/Images/oj/e2_s2.jpg"
"pail",2,"E:/PsychoPy/Images/pail/e2_s1.jpg","E:/PsychoPy/Images/pail/e2_s2.jpg"
"paper_cup",2,"E:/PsychoPy/Images/paper_cup/e2_s1.jpg","E:/PsychoPy/Images/paper_cup/e2_s2.jpg"
"peanut_butter",2,"E:/PsychoPy/Images/peanut_butter/e2_s1.jpg","E:/PsychoPy/Images/peanut_butter/e2_s2.jpg"
"pen",2,"E:/PsychoPy/Images/pen/e2_s1.jpg","E:/PsychoPy/Images/pen/e2_s2.jpg"
"phone",2,"E:/PsychoPy/Images/phone/e2_s1.jpg","E:/PsychoPy/Images/phone/e2_s2.jpg"
"phone_antique",2,"E:/PsychoPy/Images/phone_antique/e2_s1.jpg","E:/PsychoPy/Images/phone_antique/e2_s2.jpg"
"pie",2,"E:/PsychoPy/Images/pie/e2_s1.jpg","E:/PsychoPy/Images/pie/e2_s2.jpg"
"plastic_bottle",2,"E:/PsychoPy/Images/plastic_bottle/e2_s1.jpg","E:/PsychoPy/Images/plastic_bottle/e2_s2.jpg"
"poker_chips",2,"E:/PsychoPy/Images/poker_chips/e2_s1.jpg","E:/PsychoPy/Images/poker_chips/e2_s2.jpg"
"reeses",2,"E:/PsychoPy/Images/reeses/e2_s1.jpg","E:/PsychoPy/Images/reeses/e2_s2.jpg"
"scanner",2,"E:/PsychoPy/Images/scanner/e2_s1.jpg","E:/PsychoPy/Images/scanner/e2_s2.jpg"
"scissors",2,"E:/PsychoPy/Images/scissors/e2_s1.jpg","E:/PsychoPy/Images/scissors/e2_s2.jpg"
